Prenom,Nom,Service,Login,Password,Email,Titre,Entreprise,TelFixe,TelMobile
Marthe,Dufour,IT,mdufour,P@ssw0rd123,mdufour@neoinfra.fr,Administrateur système,Neoinfra,05 98 96 58 70,+33 1 54 62 75 71
Michèle,Gaudin,RH,mgaudin,P@ssw0rd123,mgaudin@neoinfra.fr,Responsable RH,Neoinfra,+33 (0)2 72 64 47 34,01 71 01 52 13
Isaac,Bourgeois,Commerciaux,ibourgeois,P@ssw0rd123,ibourgeois@neoinfra.fr,Responsable commercial,Neoinfra,05 42 36 61 18,0132960569
Margot,Gillet,Qualité,mgillet,P@ssw0rd123,mgillet@neoinfra.fr,Responsable qualité,Neoinfra,+33 (0)1 33 23 38 97,0361413378
Margot,Gaudin,RH,mgaudin,P@ssw0rd123,mgaudin@neoinfra.fr,Gestionnaire paie,Neoinfra,+33 1 77 34 16 78,+33 3 16 22 79 34
Marianne,Renault,Production,mrenault,P@ssw0rd123,mrenault@neoinfra.fr,Technicien de production,Neoinfra,0130541649,0695517331
Colette,Leroux,Direction,cleroux,P@ssw0rd123,cleroux@neoinfra.fr,Directeur général,Neoinfra,0196169179,0354480313
Nicole,Rousseau,Qualité,nrousseau,P@ssw0rd123,nrousseau@neoinfra.fr,Responsable qualité,Neoinfra,+33 8 08 00 64 88,+33 5 12 12 48 67
Hugues,Didier,Qualité,hdidier,P@ssw0rd123,hdidier@neoinfra.fr,Responsable qualité,Neoinfra,05 27 94 97 86,08 07 04 44 95
Susanne,Descamps,Production,sdescamps,P@ssw0rd123,sdescamps@neoinfra.fr,Opérateur machine,Neoinfra,0642653384,+33 (0)5 25 13 90 65
Aimée,Boulanger,IT,aboulanger,P@ssw0rd123,aboulanger@neoinfra.fr,Administrateur système,Neoinfra,0309897424,08 04 11 98 42
Dorothée,Blanchet,Finance,dblanchet,P@ssw0rd123,dblanchet@neoinfra.fr,Contrôleur de gestion,Neoinfra,+33 1 42 88 34 62,02 87 98 99 05
Léon,Noël,Direction,lnoël,P@ssw0rd123,lnoël@neoinfra.fr,Assistant de direction,Neoinfra,06 50 74 28 44,01 48 50 91 31
Marcelle,Robin,IT,mrobin,P@ssw0rd123,mrobin@neoinfra.fr,Technicien support,Neoinfra,+33 6 12 22 45 98,+33 (0)1 01 30 56 98
Antoinette,Lefebvre,IT,alefebvre,P@ssw0rd123,alefebvre@neoinfra.fr,Administrateur système,Neoinfra,0201821511,0141748689
Gabrielle,Colas,Commerciaux,gcolas,P@ssw0rd123,gcolas@neoinfra.fr,Responsable commercial,Neoinfra,0349618593,05 09 19 12 97
Nicolas,Vidal,Qualité,nvidal,P@ssw0rd123,nvidal@neoinfra.fr,Responsable qualité,Neoinfra,02 30 93 27 06,+33 (0)1 70 47 59 17
Rémy,Carlier,Qualité,rcarlier,P@ssw0rd123,rcarlier@neoinfra.fr,Responsable qualité,Neoinfra,+33 (0)1 34 66 39 18,0808752436
Théodore,Laine,IT,tlaine,P@ssw0rd123,tlaine@neoinfra.fr,Technicien support,Neoinfra,+33 (0)8 06 11 38 17,0448346122
Denise,Lemaire,Direction,dlemaire,P@ssw0rd123,dlemaire@neoinfra.fr,Assistant de direction,Neoinfra,+33 (0)2 57 71 59 34,01 07 57 40 92
Célina,Clément,Production,cclément,P@ssw0rd123,cclément@neoinfra.fr,Opérateur machine,Neoinfra,03 48 62 70 58,0217102140
Charles,Klein,Production,cklein,P@ssw0rd123,cklein@neoinfra.fr,Opérateur machine,Neoinfra,0509531803,+33 2 03 68 16 72
Anaïs,Dupuis,Finance,adupuis,P@ssw0rd123,adupuis@neoinfra.fr,Contrôleur de gestion,Neoinfra,0243206295,0100943100
Vincent,Vallet,Finance,vvallet,P@ssw0rd123,vvallet@neoinfra.fr,Contrôleur de gestion,Neoinfra,0453772627,+33 (0)8 00 63 72 94
Geneviève,Thierry,Commerciaux,gthierry,P@ssw0rd123,gthierry@neoinfra.fr,Commercial,Neoinfra,0561512659,0192519583
Victor,Fabre,Qualité,vfabre,P@ssw0rd123,vfabre@neoinfra.fr,Responsable qualité,Neoinfra,03 22 43 58 07,+33 (0)4 61 42 99 70
Éric,Vincent,Production,évincent,P@ssw0rd123,évincent@neoinfra.fr,Technicien de production,Neoinfra,+33 (0)5 12 81 70 83,08 00 36 75 41
Alice,Fernandes,Direction,afernandes,P@ssw0rd123,afernandes@neoinfra.fr,Assistant de direction,Neoinfra,0316668984,+33 2 75 26 26 34
Lorraine,Boutin,RH,lboutin,P@ssw0rd123,lboutin@neoinfra.fr,Gestionnaire paie,Neoinfra,0808782383,+33 (0)6 56 41 21 42
Céline,Rémy,Direction,crémy,P@ssw0rd123,crémy@neoinfra.fr,Assistant de direction,Neoinfra,01 02 09 95 45,+33 (0)2 22 53 98 62
Antoinette,Coste,Production,acoste,P@ssw0rd123,acoste@neoinfra.fr,Technicien de production,Neoinfra,0239686576,+33 5 93 87 85 37
Juliette,Morin,Production,jmorin,P@ssw0rd123,jmorin@neoinfra.fr,Technicien de production,Neoinfra,01 75 65 75 32,08 01 72 91 30
Grégoire,Lefèvre,Direction,glefèvre,P@ssw0rd123,glefèvre@neoinfra.fr,Assistant de direction,Neoinfra,+33 (0)6 11 47 17 25,05 81 97 42 46
Thibault,Hernandez,IT,thernandez,P@ssw0rd123,thernandez@neoinfra.fr,Technicien support,Neoinfra,+33 (0)5 33 09 00 81,01 20 37 19 85
Vincent,Monnier,Qualité,vmonnier,P@ssw0rd123,vmonnier@neoinfra.fr,Responsable qualité,Neoinfra,+33 5 76 05 30 62,04 34 02 75 04
Augustin,Morvan,Direction,amorvan,P@ssw0rd123,amorvan@neoinfra.fr,Assistant de direction,Neoinfra,+33 (0)1 18 01 11 73,0426552029
Denise,Marion,Direction,dmarion,P@ssw0rd123,dmarion@neoinfra.fr,Assistant de direction,Neoinfra,0178792821,02 40 51 54 93
Marcel,Gilbert,RH,mgilbert,P@ssw0rd123,mgilbert@neoinfra.fr,Responsable RH,Neoinfra,0430757563,0479448632
Pénélope,Germain,Finance,pgermain,P@ssw0rd123,pgermain@neoinfra.fr,Comptable,Neoinfra,0804220421,02 44 45 36 99
Sabine,Jacquot,RH,sjacquot,P@ssw0rd123,sjacquot@neoinfra.fr,Responsable RH,Neoinfra,+33 (0)3 36 74 38 83,+33 4 77 44 94 63
